analysis,removed_id,removed_class,removed_past_participle,rate_difference,target_rate,rest_rate,human_reviewed
token_unit_jackknife,tschucuameke,ameke_other,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,tsetijolameke,ameke_other,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,upeameke,ameke_other,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,bassigameke,gameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,cusigameke,gameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,matschigameke,gameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,matschirujegameke,gameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,repagameke,gameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,repagatigameke,gameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,bassatiameke,iameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,lesiameke,iameke,True,0.450226,0.538462,0.088235,False
token_unit_jackknife,loguiameke,iameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,motschiameke,iameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,nalsiameke,iameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,pahiameke,iameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,schuguiameke,iameke,True,0.450226,0.538462,0.088235,False
token_unit_jackknife,simiameke,iameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,tschutscheliameke,iameke,True,0.450226,0.538462,0.088235,False
token_unit_jackknife,uliameke,iameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,bassirujameke,jameke,True,0.450226,0.538462,0.088235,False
token_unit_jackknife,bassujameke,jameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,cocojameke,jameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,jolajameke,jameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,mahajameke,jameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,mujameke,jameke,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,bassirugameke,ugameke,True,0.385714,0.5,0.114286,False
token_unit_jackknife,holirugameke,ugameke,False,0.469048,0.583333,0.114286,False
token_unit_jackknife,hulirugameke,ugameke,True,0.385714,0.5,0.114286,False
token_unit_jackknife,jolarugameke,ugameke,True,0.385714,0.5,0.114286,False
token_unit_jackknife,jumarugameke,ugameke,False,0.469048,0.583333,0.114286,False
token_unit_jackknife,pagorugameke,ugameke,True,0.385714,0.5,0.114286,False
token_unit_jackknife,pagotugameke,ugameke,True,0.385714,0.5,0.114286,False
token_unit_jackknife,pauguirugameke,ugameke,False,0.469048,0.583333,0.114286,False
token_unit_jackknife,polirugameke,ugameke,True,0.385714,0.5,0.114286,False
token_unit_jackknife,tanarugameke,ugameke,True,0.385714,0.5,0.114286,False
token_unit_jackknife,tschapirugameke,ugameke,False,0.469048,0.583333,0.114286,False
token_unit_jackknife,tschipugameke,ugameke,False,0.469048,0.583333,0.114286,False
token_unit_jackknife,tutschirugameke,ugameke,False,0.469048,0.583333,0.114286,False
