member_id,exclusive_suffix_class,analysis_token_key,source_layer,record_id,article_headword,local_german_label,alignment_risk,functional_proxy,participle_surface_proxy,human_reviewed
RHD-AMEKE-00074,ameke_other,otisherameke,RAR-DE,RHD-S1809-02145,,Ein alter Mann,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00076,ugameke,pagotugameke,RAR-DE,RHD-S1809-02152,,Ein Getaufter,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00078,ameke_other,pamagueameke,RAR-DE,RHD-S1809-02154,,Grün,direct,other_single_word_proxy,False,False
RHD-AMEKE-00079,ugameke,parugameke,RAR-DE,RHD-S1809-02157,,Fortgetragenes,direct,other_single_word_proxy,False,False
RHD-AMEKE-00082,ameke_other,pitschaburameke,RAR-DE,RHD-S1809-02184,,Verschnitten,direct,other_single_word_proxy,False,False
RHD-AMEKE-00084,ugameke,potschirugameke,RAR-DE,RHD-S1809-02193,,Schwanger,direct,other_single_word_proxy,False,False
RHD-AMEKE-00092,ameke_other,rosacameke,RAR-DE,RHD-S1809-02251,,oder toſácameke,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00094,ameke_other,saateameke,RAR-DE,RHD-S1809-02255,,Sandig,direct,property_surface_proxy,False,False
RHD-AMEKE-00096,iameke,samiameke,RAR-DE,RHD-S1809-02258,,Feucht,direct,other_single_word_proxy,False,False
RHD-AMEKE-00098,iameke,satiameke,RAR-DE,RHD-S1809-02261,,Anfechter,direct,other_single_word_proxy,False,False
RHD-AMEKE-00099,jameke,schiojameke,RAR-DE,RHD-S1809-02265,,Blau,direct,other_single_word_proxy,False,False
RHD-AMEKE-00100,iameke,schugiameke,RAR-DE,RHD-S1809-02268,,"Es ist ausgegangen, hat abgenommen",direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00102,iameke,seliameke,RAR-DE,RHD-S1809-02275,,So nennen ſie ihren Dorfrichter,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00103,ugameke,sikirugameke,RAR-DE,RHD-S1809-02283,,Zerhauenes,direct,other_single_word_proxy,False,False
RHD-AMEKE-00106,ameke_other,stacameke,RAR-DE,RHD-S1809-02466,,oder Stácameke,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00115,ameke_other,tameke,RAR-DE,RHD-S1809-02329,,Wir,direct,other_single_word_proxy,False,False
RHD-AMEKE-00117,gameke,taragameke,RAR-DE,RHD-S1809-02336,,Zähler,direct,other_single_word_proxy,False,False
RHD-AMEKE-00119,ameke_other,teculuameke,RAR-DE,RHD-S1809-02353,,Berauſcht,direct,other_single_word_proxy,False,False
RHD-AMEKE-00120,ameke_other,tehimeameke,RAR-DE,RHD-S1809-02359,,Verwandter,direct,other_single_word_proxy,False,False
RHD-AMEKE-00122,gameke,telegatigameke,RAR-DE,RHD-S1809-02367,,"der unten iſt, ſ",direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00123,gameke,tepagatigameke,RAR-DE,RHD-S1809-02383,,ſ,direct,other_single_word_proxy,False,False
RHD-AMEKE-00128,ameke_other,tlestataccameke,RAR-DE,RHD-S1809-02466,,oder Stácameke,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00129,ameke_other,tosacameke,RAR-DE,RHD-S1809-02404,,Weiß,direct,other_single_word_proxy,False,False
RHD-AMEKE-00130,jameke,tsainijolajameke,RAR-DE,RHD-S1809-02410,,Der Böſes thut,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00133,ameke_other,tschiperameke,RAR-DE,RHD-S1809-02426,,Fein,direct,other_single_word_proxy,False,False
RHD-AMEKE-00135,ameke_other,tschirulameke,RAR-DE,RHD-S1809-02440,,Rund,direct,other_single_word_proxy,False,False
RHD-AMEKE-00136,iameke,tschitschiameke,RAR-DE,RHD-S1809-02434,,Säugling,direct,other_single_word_proxy,False,False
RHD-AMEKE-00139,ameke_other,tschulugeameke,RAR-DE,RHD-S1809-02453,,Hungrig,direct,property_surface_proxy,False,False
RHD-AMEKE-00142,jameke,tsetijolajameke,RAR-DE,RHD-S1809-02470,,Uebelthäter,direct,other_single_word_proxy,False,False
RHD-AMEKE-00145,ameke_other,uelameke,RAR-DE,RHD-S1809-02480,,Altes Weib,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00146,ameke_other,upeameke,RAR-DE,RHD-S1809-02490,,"Ein Verheyratheter, Ehemann",direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00147,iameke,veniameke,RAR-DE,RHD-S1809-02481,,Zahm,direct,other_single_word_proxy,False,False
RHD-AMEKE-00104,iameke,simiameke,DE-RAR-local-proposal,RHD-S1809-00001,Abgehen,Abgehend,low,present_participle_surface_proxy,True,False
RHD-AMEKE-00124,ugameke,tepulirugameke,DE-RAR-local-proposal,RHD-S1809-00003,Abhauen,Abgehauen,high,past_participle_surface_proxy,True,False
RHD-AMEKE-00075,ugameke,pagorugameke,DE-RAR-local-proposal,RHD-S1809-00011,Abwaſchen,Abgewaſchen,low,past_participle_surface_proxy,True,False
RHD-AMEKE-00033,ugameke,hulirugameke,DE-RAR-local-proposal,RHD-S1809-00007,Abſchicken,Abgeſchickt,low,past_participle_surface_proxy,True,False
RHD-AMEKE-00044,gameke,jumamatsigameke,DE-RAR-local-proposal,RHD-S1809-00073,Allwiſſend,Allwiſſend,high,present_participle_surface_proxy,True,False
RHD-AMEKE-00071,ameke_other,ogueameke,DE-RAR-local-proposal,RHD-S1809-00133,Arzney,Arzney,high,other_single_word_proxy,False,False
RHD-AMEKE-00021,ameke_other,etschagueameke,DE-RAR-local-proposal,RHD-S1809-00178,Bärtig,Bärtig,high,property_surface_proxy,False,False
RHD-AMEKE-00083,ugameke,polirugameke,DE-RAR-local-proposal,RHD-S1809-00194,Bedecken,Bedeckt,low,past_participle_surface_proxy,True,False
RHD-AMEKE-00131,jameke,tsanijameke,DE-RAR-local-proposal,RHD-S1809-00211,Bejahen,Bejahend,high,present_participle_surface_proxy,True,False
RHD-AMEKE-00088,ameke_other,reguameke,DE-RAR-local-proposal,RHD-S1809-00225,Benennt,Benennt,high,other_single_word_proxy,False,False
RHD-AMEKE-00054,gameke,matschigameke,DE-RAR-local-proposal,RHD-S1809-00261,Bewußt,Bewußt,high,other_single_word_proxy,False,False
RHD-AMEKE-00029,ameke_other,tschiperameke,DE-RAR-local-proposal,RHD-S1809-00275,Blech,Blech,high,other_single_word_proxy,False,False
RHD-AMEKE-00114,gameke,tamatischigameke,DE-RAR-local-proposal,RHD-S1809-00277,Blind,Blind,high,other_single_word_proxy,False,False
RHD-AMEKE-00089,gameke,repagameke,DE-RAR-local-proposal,RHD-S1809-00278,Blitzen,Blitzen,high,other_single_word_proxy,False,False
RHD-AMEKE-00083,ugameke,polirugameke,DE-RAR-local-proposal,RHD-S1809-00321,Decken,Gedeckt,low,past_participle_surface_proxy,True,False
RHD-AMEKE-00095,iameke,sakiameke,DE-RAR-local-proposal,RHD-S1809-00361,Dürr,Dürr,high,other_single_word_proxy,False,False
RHD-AMEKE-00060,iameke,mukiameke,DE-RAR-local-proposal,RHD-S1809-00375,Ehemann,Upíameke,high,other_single_word_proxy,False,False
RHD-AMEKE-00059,ameke_other,cuneameke,DE-RAR-local-proposal,RHD-S1809-00378,Eheweib,Eheweib,high,other_single_word_proxy,False,False
RHD-AMEKE-00035,iameke,motschiameke,DE-RAR-local-proposal,RHD-S1809-00389,Eingebohrner,Ibe jaſſameke,low,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00054,gameke,matschigameke,DE-RAR-local-proposal,RHD-S1809-00429,Erfahren,Erfahren,high,other_single_word_proxy,False,False
RHD-AMEKE-00132,ugameke,tschapirugameke,DE-RAR-local-proposal,RHD-S1809-00431,Ergreifen,Ergriffen,low,other_single_word_proxy,False,False
RHD-AMEKE-00048,iameke,lesiameke,DE-RAR-local-proposal,RHD-S1809-00438,Ermüden,Ermüdet,low,past_participle_surface_proxy,True,False
RHD-AMEKE-00069,jameke,netejameke,DE-RAR-local-proposal,RHD-S1809-00443,Erſchaffer,Erſchaffer,high,other_single_word_proxy,False,False
RHD-AMEKE-00066,iameke,nassiameke,DE-RAR-local-proposal,RHD-S1809-00473,Faul,Faul,high,other_single_word_proxy,False,False
RHD-AMEKE-00081,ameke_other,peguameke,DE-RAR-local-proposal,RHD-S1809-00490,Feſt,Feſt,high,other_single_word_proxy,False,False
RHD-AMEKE-00097,ameke_other,sapeameke,DE-RAR-local-proposal,RHD-S1809-00512,Fleiſchig,Fleiſchig,high,property_surface_proxy,False,False
RHD-AMEKE-00126,ameke_other,thulameke,DE-RAR-local-proposal,RHD-S1809-00543,Froſtig,Froſtig,high,property_surface_proxy,False,False
RHD-AMEKE-00052,jameke,mahajameke,DE-RAR-local-proposal,RHD-S1809-00550,Furchtſam,Furchtſam,high,property_surface_proxy,False,False
RHD-AMEKE-00027,ugameke,guauguerugameke,DE-RAR-local-proposal,RHD-S1809-00573,Gebraten,Gebraten,high,past_participle_surface_proxy,True,False
RHD-AMEKE-00054,gameke,matschigameke,DE-RAR-local-proposal,RHD-S1809-00590,Gelehrt,Gelehrt,high,past_participle_surface_proxy,True,False
RHD-AMEKE-00024,iameke,galatsaneliameke,DE-RAR-local-proposal,RHD-S1809-00600,Geſegnet,Geſegnet,high,past_participle_surface_proxy,True,False
RHD-AMEKE-00037,ugameke,ipagatugameke,DE-RAR-local-proposal,RHD-S1809-00607,Getauft,Sie pflegen auch zu ſagen,high,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00075,ugameke,pagorugameke,DE-RAR-local-proposal,RHD-S1809-00607,Getauft,Getauft,high,past_participle_surface_proxy,True,False
RHD-AMEKE-00089,gameke,repagameke,DE-RAR-local-proposal,RHD-S1809-00623,Glänzend,Glänzend,high,present_participle_surface_proxy,True,False
RHD-AMEKE-00081,ameke_other,peguameke,DE-RAR-local-proposal,RHD-S1809-00662,Hart,Hart,low,other_single_word_proxy,False,False
RHD-AMEKE-00111,ugameke,pagotugameke,DE-RAR-local-proposal,RHD-S1809-00669,Heide,Heide,low,other_single_word_proxy,False,False
RHD-AMEKE-00070,jameke,ogajameke,DE-RAR-local-proposal,RHD-S1809-00673,Heilend,Heilend,high,present_participle_surface_proxy,True,False
RHD-AMEKE-00008,jameke,bassujameke,DE-RAR-local-proposal,RHD-S1809-00674,Heiß,Heiß,low,other_single_word_proxy,False,False
RHD-AMEKE-00019,gameke,cusigameke,DE-RAR-local-proposal,RHD-S1809-00736,Hölzern,Hölzern,low,property_surface_proxy,False,False
RHD-AMEKE-00072,ameke_other,oguesameke,DE-RAR-local-proposal,RHD-S1809-00741,Hülfsmittel,Arzeney,low,other_single_word_proxy,False,False
RHD-AMEKE-00126,ameke_other,thulameke,DE-RAR-local-proposal,RHD-S1809-00770,Kalt,Kalt,low,other_single_word_proxy,False,False
RHD-AMEKE-00054,gameke,matschigameke,DE-RAR-local-proposal,RHD-S1809-00799,Klug,Klug,low,other_single_word_proxy,False,False
RHD-AMEKE-00023,ugameke,bassirugameke,DE-RAR-local-proposal,RHD-S1809-00805,Kochen,Ausgekocht,low,past_participle_surface_proxy,True,False
RHD-AMEKE-00013,jameke,cocojameke,DE-RAR-local-proposal,RHD-S1809-00826,Krank,Krank,low,other_single_word_proxy,False,False
RHD-AMEKE-00138,ameke_other,tschucuameke,DE-RAR-local-proposal,RHD-S1809-00833,Kriechen,Kriechend,low,present_participle_surface_proxy,True,False
RHD-AMEKE-00137,ameke_other,tschitulameke,DE-RAR-local-proposal,RHD-S1809-00840,Kugelförmig,cavorámeke,high,other_single_word_proxy,False,False
RHD-AMEKE-00055,gameke,matschirujegameke,DE-RAR-local-proposal,RHD-S1809-00866,Lehrling,Lehrling,low,other_single_word_proxy,False,False
RHD-AMEKE-00089,gameke,repagameke,DE-RAR-local-proposal,RHD-S1809-00879,Leuchten,Leuchtend,low,present_participle_surface_proxy,True,False
RHD-AMEKE-00089,gameke,repagameke,DE-RAR-local-proposal,RHD-S1809-00880,Leuchtend,Leuchtend,low,present_participle_surface_proxy,True,False
RHD-AMEKE-00041,ugameke,jolarugameke,DE-RAR-local-proposal,RHD-S1809-00895,Machen,Gemacht,low,past_participle_surface_proxy,True,False
RHD-AMEKE-00112,ameke_other,sapeameke,DE-RAR-local-proposal,RHD-S1809-00902,Mager,Mager,high,other_single_word_proxy,False,False
RHD-AMEKE-00090,gameke,repagatigameke,DE-RAR-local-proposal,RHD-S1809-00985,Oberer,Oberer,low,other_single_word_proxy,False,False
RHD-AMEKE-00050,iameke,loguiameke,DE-RAR-local-proposal,RHD-S1809-01021,Raſen,Raſend,low,present_participle_surface_proxy,True,False
RHD-AMEKE-00127,ameke_other,tlestatacameke,DE-RAR-local-proposal,RHD-S1809-01047,Roth,Roth,high,other_single_word_proxy,False,False
RHD-AMEKE-00057,jameke,mujajameke,DE-RAR-local-proposal,RHD-S1809-01045,Roſt,Mujála,high,other_single_word_proxy,False,False
RHD-AMEKE-00057,jameke,mujajameke,DE-RAR-local-proposal,RHD-S1809-01046,Roſtig,Roſtig,high,property_surface_proxy,False,False
RHD-AMEKE-00137,ameke_other,tschitulameke,DE-RAR-local-proposal,RHD-S1809-01055,Rund,wie ein Kreis,low,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00141,iameke,tschutscheliameke,DE-RAR-local-proposal,RHD-S1809-01066,Salben,Geſalbt,low,past_participle_surface_proxy,True,False
RHD-AMEKE-00093,ameke_other,saaeameke,DE-RAR-local-proposal,RHD-S1809-01074,Sandig,Sandig,low,property_surface_proxy,False,False
RHD-AMEKE-00105,iameke,sriameke,DE-RAR-local-proposal,RHD-S1809-01076,Satan,Satan,high,other_single_word_proxy,False,False
RHD-AMEKE-00077,iameke,pahiameke,DE-RAR-local-proposal,RHD-S1809-01080,Saufer,Saufer,low,other_single_word_proxy,False,False
RHD-AMEKE-00085,ameke_other,nasseameke,DE-RAR-local-proposal,RHD-S1809-01086,Schafhirt,Schafhirt,high,other_single_word_proxy,False,False
RHD-AMEKE-00140,ugameke,tschutarugameke,DE-RAR-local-proposal,RHD-S1809-01092,Scharf,Scharf,high,other_single_word_proxy,False,False
RHD-AMEKE-00026,ugameke,gassirugameke,DE-RAR-local-proposal,RHD-S1809-01103,Scherben,Caſſiníki,high,other_single_word_proxy,False,False
RHD-AMEKE-00125,jameke,tessiguajameke,DE-RAR-local-proposal,RHD-S1809-01157,Schwermüthig,Schwermüthig,high,property_surface_proxy,False,False
RHD-AMEKE-00053,gameke,matichirujegameke,DE-RAR-local-proposal,RHD-S1809-01147,Schüler,Schüler,high,other_single_word_proxy,False,False
RHD-AMEKE-00007,jameke,bassirujameke,DE-RAR-local-proposal,RHD-S1809-01199,Sieden,Geſotten,low,past_participle_surface_proxy,True,False
RHD-AMEKE-00008,jameke,bassujameke,DE-RAR-local-proposal,RHD-S1809-01199,Sieden,Siedend,low,present_participle_surface_proxy,True,False
RHD-AMEKE-00013,jameke,cocojameke,DE-RAR-local-proposal,RHD-S1809-01198,Sieh,Sieh,low,other_single_word_proxy,False,False
RHD-AMEKE-00065,iameke,nalsiameke,DE-RAR-local-proposal,RHD-S1809-01216,Sorglos,Sorglos,low,property_surface_proxy,False,False
RHD-AMEKE-00121,iameke,uliameke,DE-RAR-local-proposal,RHD-S1809-01267,Stein,Steinerne Säule,low,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00110,iameke,mukilatiameke,DE-RAR-local-proposal,RHD-S1809-01277,Sterblich,B,high,other_single_word_proxy,False,False
RHD-AMEKE-00134,ugameke,tschipugameke,DE-RAR-local-proposal,RHD-S1809-01281,Stinken,Stinkend,low,present_participle_surface_proxy,True,False
RHD-AMEKE-00040,jameke,jolajameke,DE-RAR-local-proposal,RHD-S1809-01330,Thun,Thuend,low,present_participle_surface_proxy,True,False
RHD-AMEKE-00041,ugameke,jolarugameke,DE-RAR-local-proposal,RHD-S1809-01330,Thun,Gethan,low,past_participle_surface_proxy,True,False
RHD-AMEKE-00101,iameke,schuguiameke,DE-RAR-local-proposal,RHD-S1809-01335,Todtſeyn,Todtſeyn,low,other_single_word_proxy,False,False
RHD-AMEKE-00065,iameke,nalsiameke,DE-RAR-local-proposal,RHD-S1809-01340,Trag,Trag,high,other_single_word_proxy,False,False
RHD-AMEKE-00077,iameke,pahiameke,DE-RAR-local-proposal,RHD-S1809-01347,Trinker,Trinker,low,other_single_word_proxy,False,False
RHD-AMEKE-00039,ameke_other,jauguirameke,DE-RAR-local-proposal,RHD-S1809-01321,Tänzer,Tänzer,low,other_single_word_proxy,False,False
RHD-AMEKE-00118,ameke_other,upeameke,DE-RAR-local-proposal,RHD-S1809-01374,Unbeweibt,Unbeweibt,low,other_single_word_proxy,False,False
RHD-AMEKE-00113,iameke,schuguiameke,DE-RAR-local-proposal,RHD-S1809-01375,Unendlich,Unendlich,low,property_surface_proxy,False,False
RHD-AMEKE-00108,jameke,mahajameke,DE-RAR-local-proposal,RHD-S1809-01376,Unerſchrocken,Unerſchrocken,low,other_single_word_proxy,False,False
RHD-AMEKE-00111,ugameke,pagotugameke,DE-RAR-local-proposal,RHD-S1809-01381,Ungewaſchen,Ungewaſchen,low,past_participle_surface_proxy,True,False
RHD-AMEKE-00109,gameke,matschigameke,DE-RAR-local-proposal,RHD-S1809-01384,Unkundig,Unkundig,low,property_surface_proxy,False,False
RHD-AMEKE-00118,ameke_other,upeameke,DE-RAR-local-proposal,RHD-S1809-01396,Unverehelicht,Unverehelicht,low,other_single_word_proxy,False,False
RHD-AMEKE-00109,gameke,matschigameke,DE-RAR-local-proposal,RHD-S1809-01405,Unwiſſend,Unwiſſend,low,present_participle_surface_proxy,True,False
RHD-AMEKE-00107,gameke,bassigameke,DE-RAR-local-proposal,RHD-S1809-01407,Unzeitig,Unzeitig,low,property_surface_proxy,False,False
RHD-AMEKE-00050,iameke,loguiameke,DE-RAR-local-proposal,RHD-S1809-01388,Unſinnig,Unſinnig,low,property_surface_proxy,False,False
RHD-AMEKE-00004,iameke,bassatiameke,DE-RAR-local-proposal,RHD-S1809-01408,Urbar,das ſich pflügen läßt,low,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00143,ameke_other,tsetijolameke,DE-RAR-local-proposal,RHD-S1809-01420,Verbrecher,Verbrecher,low,other_single_word_proxy,False,False
RHD-AMEKE-00058,jameke,mujameke,DE-RAR-local-proposal,RHD-S1809-01423,Verfault,Verfault,low,other_single_word_proxy,False,False
RHD-AMEKE-00081,ameke_other,peguameke,DE-RAR-local-proposal,RHD-S1809-01435,Verhärtet,Verhärtet,low,other_single_word_proxy,False,False
RHD-AMEKE-00101,iameke,schuguiameke,DE-RAR-local-proposal,RHD-S1809-01475,Verzehren,Verzehrt,low,past_participle_surface_proxy,True,False
RHD-AMEKE-00101,iameke,schuguiameke,DE-RAR-local-proposal,RHD-S1809-01464,Verſtorben,Verſtorben,high,other_single_word_proxy,False,False
RHD-AMEKE-00054,gameke,matschigameke,DE-RAR-local-proposal,RHD-S1809-01462,Verſtändig,Verſtändig,low,property_surface_proxy,False,False
RHD-AMEKE-00009,ameke_other,bucuameke,DE-RAR-local-proposal,RHD-S1809-01479,Viehiſch,Viehiſch,low,property_surface_proxy,False,False
RHD-AMEKE-00050,iameke,loguiameke,DE-RAR-local-proposal,RHD-S1809-01511,Wahnſinnig,Wahnſinnig,high,property_surface_proxy,False,False
RHD-AMEKE-00031,ugameke,holirugameke,DE-RAR-local-proposal,RHD-S1809-01541,Waizen,Nach abgelöſten Körnern,low,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00032,ameke_other,honeameke,DE-RAR-local-proposal,RHD-S1809-01541,Waizen,Noch nicht abgekörnt,low,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00087,ameke_other,pugueameke,DE-RAR-local-proposal,RHD-S1809-01520,Warten,Wartend,low,present_participle_surface_proxy,True,False
RHD-AMEKE-00091,ameke_other,rolacameke,DE-RAR-local-proposal,RHD-S1809-01538,Weiß,Weiß,low,other_single_word_proxy,False,False
RHD-AMEKE-00086,ugameke,jumarugameke,DE-RAR-local-proposal,RHD-S1809-01546,Widder,Widder,low,other_single_word_proxy,False,False
RHD-AMEKE-00080,ugameke,pauguirugameke,DE-RAR-local-proposal,RHD-S1809-01524,Wäſſerig,Wäſſerig,low,property_surface_proxy,False,False
RHD-AMEKE-00050,iameke,loguiameke,DE-RAR-local-proposal,RHD-S1809-01577,Wüthig,Wüthig,low,property_surface_proxy,False,False
RHD-AMEKE-00005,iameke,bassiameke,DE-RAR-local-proposal,RHD-S1809-01591,Zeitig,Zeitig,high,property_surface_proxy,False,False
RHD-AMEKE-00144,ugameke,tutschirugameke,DE-RAR-local-proposal,RHD-S1809-01596,Zerreiben,Zerrieben,low,other_single_word_proxy,False,False
RHD-AMEKE-00116,ugameke,tanarugameke,DE-RAR-local-proposal,RHD-S1809-01600,Zeugen,Gezeugt,low,past_participle_surface_proxy,True,False
