record_id,source_code,direction,headword_raw,headword_ocr_raw,headword_search,definition_raw,translation_es_editorial,editorial_note,article_ocr_raw,printed_page,pdf_page,source_ocr_line_start,source_ocr_line_end,delimiter,extraction_score,segmentation_confidence,curated_anchor,extraction_method,status,validation,facsimile_column,headword_diplomatic,article_diplomatic,diplomatic_status,diplomatic_batch,diplomatic_note,human_verified,diplomatic_review_method
RHD-S1809-00064,STEFFEL-1809,DE-RAR,Abſenden,Abſenden,absenden,ſ. abſchicken.,,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"Abſenden, ſ. abſchicken.",301,11,468,468,",",13,low_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00008,STEFFEL-1809,DE-RAR,Abstehen,Abſtehen,abstehen,"Aregué, regus.",apartarse / desistir,source forms preserved,"Abſtehen! Aregué, regus.",301,11,469,469,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00009,STEFFEL-1809,DE-RAR,Absteigen,Abſteigen,absteigen,Nehe tels simi.,bajar / descender,Rarámuri phrase as OCR; requires facsimile verification,Abſteigen. Nehe tels simi.,301,11,470,470,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00010,STEFFEL-1809,DE-RAR,Abwärts,Abwaͤrts,abwaerts,Telegona.,hacia abajo,source form preserved,Abwaͤrts. Telegona.,301,11,471,471,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00011,STEFFEL-1809,DE-RAR,Abwaschen,Abwaſchen bagota,abwaschen,Abge⸗ waſchen. -Pagorügameke.,lavar,source form preserved,"Abwaſchen bagota. Abge⸗ 
waſchen. -Pagorügameke.",301,11,472,473,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00012,STEFFEL-1809,DE-RAR,Abwaschung,Abwaſchung,abwaschung,Pavoliki. So heiſſen ſie auch die Taufe.,lavado; también bautismo según la fuente,the entry explicitly notes the same term for baptism,"Abwaſchung. Pavoliki. So 
heiſſen ſie auch die Taufe.",301,11,474,477,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00065,STEFFEL-1809,DE-RAR,Abweg,Abweg,abweg,"Ta pdvireck. Hali Das boa iſt ein Huͤlfswort ſolcher Größe, daß fie ein EE EEE EPÄZEL TE N 2 ""TER * Nr ni Fu",,"Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar. Entry start Abweg is valid, but the OCR article block is contaminated by text belonging to the Adern article because source text order does not preserve two-column layout. Full diplomatic body remains pending. RHD-FR-001: visual_facsimile_collation_ai_assisted; scope=headword_and_entry_start_boundary; exact_page=301.","Abweg. Ta pdvireck. 
Hali 


Das boa iſt ein Huͤlfswort 


ſolcher Größe, daß fie ein 


EE EEE EPÄZEL TE N 
2 ""TER * Nr ni Fu",301,11,478,491,.,17,high_machine,no,coverage-first OCR line segmentation v1,diplomatic_transcription_ai_assisted,transcripción_diplomática_visual_ai_asistida;pendiente_de_validación_humana_y_lingüística,right,Abweg,Abweg. Tà póvireck.,complete_ai_assisted,RHD-DIP-001A,The short article boundary is clear; diacritics in the Rarámuri equivalent remain flagged for later human verification.,false,visual_facsimile_transcription_ai_assisted
RHD-S1809-00013,STEFFEL-1809,DE-RAR,Abzahlen,Abzahlen,abzahlen,"Tara, a",contar / pagar por conteo,source form preserved,"Abzahlen. Tara, a",301,11,492,493,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00014,STEFFEL-1809,DE-RAR,Acht,Acht,acht,Ollanagudco. Der achte.,ocho,source form preserved,Acht. Ollanagudco. Der achte.,301,11,494,494,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00066,STEFFEL-1809,DE-RAR,Oſlanagudameke,Oſlanagudameke,oslanagudameke,Achtmal.,,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,Oſlanagudameke. Achtmal.,302,12,495,495,.,15,medium_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00067,STEFFEL-1809,DE-RAR,Offanaguella,Offanaguella,offanaguella,Achtzigmal.,,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,Offanaguella. Achtzigmal.,302,12,496,496,.,15,medium_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00068,STEFFEL-1809,DE-RAR,Offanaguefla macock,Offanaguefla macock,offanaguefla macock,,,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"+ Offanaguefla macock,",302,12,497,498,",",13,low_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00015,STEFFEL-1809,DE-RAR,Acht haben,Acht haben,acht haben,Gane kake.,prestar atención,source form preserved,Acht haben. Gane kake.,302,12,499,500,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00016,STEFFEL-1809,DE-RAR,Acker,Acker,acker,Bafla. _ Gepfluͤgter,campo / tierra de cultivo,source form preserved,Acker. Bafla. _ Gepfluͤgter,302,12,501,501,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00069,STEFFEL-1809,DE-RAR,Acker,Acker,acker,Baila mapu echtschi - A N 8,,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"Acker. Baila mapu echtschi - 


A N 8",302,12,502,505,.,15,medium_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00070,STEFFEL-1809,DE-RAR,Adern,Adern,adern,"Baflara. Es muß ge: ackert werden. ‚Baflaraboa der leidenden Bedeutung, wie das mela in der wir⸗ kenden iſt. 5",,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"‚Adern. Baflara. Es muß ge: 
ackert werden. ‚Baflaraboa 


der leidenden Bedeutung, 

wie das mela in der wir⸗ 

kenden iſt. 5",302,12,506,514,.,15,medium_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00017,STEFFEL-1809,DE-RAR,Adler,Adler,adler,"Guagus. In jenem Gebirge giebt es Adler von Lamm in ihren Klauen da⸗ von tragen, wie ich ſelbſt geſehen habe. 1 ; b.",águila,entry continues with an ethnographic/faunal note,"Adler. Guagus. In jenem 
Gebirge giebt es Adler von 


Lamm in ihren Klauen da⸗ 
von tragen, wie ich ſelbſt 
geſehen habe. 1 ; b.",302,12,515,521,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00018,STEFFEL-1809,DE-RAR,Aernten,Aernten,aernten,Sik 4.,cosechar,historical German spelling/source OCR preserved in headword,Aernten. Sik 4.,302,12,522,522,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00019,STEFFEL-1809,DE-RAR,Allein,Allein,allein,Pinelipi. Ganz allein. pilspitso. 4,solo / solamente,source form preserved,"Allein. Pinelipi. Ganz allein. 

pilspitso. 4",302,12,523,525,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00020,STEFFEL-1809,DE-RAR,Alles,Alles,alles,"Juma oder joma,",todo,two variants are explicitly given,"Alles. Juma oder joma,",302,12,526,526,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00021,STEFFEL-1809,DE-RAR,Allenthalben,Allenthalben,allenthalben,"Juma guetsi,'",en todas partes,source phrase preserved,"Allenthalben. Juma guetsi,'",302,12,527,527,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00022,STEFFEL-1809,DE-RAR,Allerdings,Allerdings,allerdings,klüne. Hutſine.,ciertamente / desde luego,OCR and long-s require verification,Allerdings. klüne. Hutſine.,302,12,528,528,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00071,STEFFEL-1809,DE-RAR,Allgegenwaͤrtig,Allgegenwaͤrtig,allgegenwartig,"Jumaguetsf gatlamgeke, «",,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"Allgegenwaͤrtig. Jumaguetsf 

gatlamgeke, 


«",302,12,529,536,.,15,medium_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00072,STEFFEL-1809,DE-RAR,Allmächtig,Hllmächtig,allmaechtig,Jumäjumajameke.,,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar. Initial letter misread by OCR as H. RHD-FR-001: visual_facsimile_collation_ai_assisted; scope=headword_and_entry_start_boundary; exact_page=301.,Hllmächtig. Jumäjumajameke.,301,11,537,539,.,17,high_machine,no,coverage-first OCR line segmentation v1,diplomatic_transcription_ai_assisted,transcripción_diplomática_visual_ai_asistida;pendiente_de_validación_humana_y_lingüística,right,Allmächtig,Allmächtig. Jumájumájameke.,complete_ai_assisted,RHD-DIP-001A,,false,visual_facsimile_transcription_ai_assisted
RHD-S1809-00073,STEFFEL-1809,DE-RAR,Allwiſſend,Allwiſſend,allwissend,"Jumamatsigameke,",,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar. RHD-FR-001: visual_facsimile_collation_ai_assisted; scope=headword_and_entry_start_boundary; exact_page=301.,"Allwiſſend. Jumamatsigameke,",301,11,540,540,.,17,high_machine,no,coverage-first OCR line segmentation v1,diplomatic_transcription_ai_assisted,transcripción_diplomática_visual_ai_asistida;pendiente_de_validación_humana_y_lingüística,right,Allwiſſend,Allwiſſend. Jumámatsigameke.,complete_ai_assisted,RHD-DIP-001A,,false,visual_facsimile_transcription_ai_assisted
RHD-S1809-00023,STEFFEL-1809,DE-RAR,Allzeit,Allzeit,allzeit,Sinevi „oder sinivi.,siempre,two variants explicitly given,Allzeit. Sinevi „oder sinivi.,302,12,541,541,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00074,STEFFEL-1809,DE-RAR,Aloe,Aloe,aloe,"‚Meke, Es iſt eine der",,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"Aloe. ‚Meke, Es iſt eine der",302,12,542,542,.,15,medium_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00075,STEFFEL-1809,DE-RAR,Alde ganz ahnliche,Alde ganz ahnliche,alde ganz ahnliche,"aber nicht ſo große Pflanze, welche auf den hoͤchſten",,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"Alde ganz ahnliche, aber 
nicht ſo große Pflanze, 
welche auf den hoͤchſten",302,12,543,545,",",11,low_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00076,STEFFEL-1809,DE-RAR,Seifen wächſt,Seifen wächſt,seifen waechst,"und von den Tarahumaren jährlich mit vie⸗ 302 Deutſch Tarahumariſches vieler Muͤhe und Lebensge⸗ fahr in großer Menge ge⸗ ſammelt wird. Man kann dieſe Sammlung ihre Wein⸗ leſe nennen. Dieſe Pflanzen werden zum Genuſſe auf folgende Art zubereitet. Es wird eine tiefe Grube ge: macht, welche mit Gras aus⸗ gefuͤttert wird. Darein werden die Pflanzen gelegt, die man abermal mit duͤrren",,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"Seifen wächſt, und von den 
Tarahumaren jährlich mit 
vie⸗ 


302 Deutſch Tarahumariſches 


vieler Muͤhe und Lebensge⸗ 
fahr in großer Menge ge⸗ 
ſammelt wird. Man kann 
dieſe Sammlung ihre Wein⸗ 
leſe nennen. Dieſe Pflanzen 
werden zum Genuſſe auf 
folgende Art zubereitet. Es 
wird eine tiefe Grube ge: 


macht, welche mit Gras aus⸗ 


gefuͤttert wird. Darein 
werden die Pflanzen gelegt, 
die man abermal mit duͤrren",302,12,546,571,",",13,low_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00077,STEFFEL-1809,DE-RAR,Graſe bedecket,Graſe bedecket,grase bedecket,"dakuͤber kommen Steine, und uͤber die Steine etwas Erde. Man zuͤndet darauf ein hef⸗ tiges Feuer an, ſo daß die vergrabenen Pflanzen ſchwitzen, duͤnſten, und den ſuͤßen Saft, oder Syrup, den ſie in ſich haben, halb fluͤſſig machen. Wenn nun dieſes geſchehen, werden ſie herausgenommen, und in große Kugeln zuſammen⸗ gepappt, wovon ſie lange Zeit ihre Leckerbiſſen haben. Es wird auch ein guter",,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"Graſe bedecket, dakuͤber 


kommen Steine, und uͤber 
die Steine etwas Erde. 
Man zuͤndet darauf ein hef⸗ 
tiges Feuer an, ſo daß 
die vergrabenen Pflanzen 
ſchwitzen, duͤnſten, und 
den ſuͤßen Saft, oder Syrup, 


den ſie in ſich haben, halb 


fluͤſſig machen. Wenn nun 
dieſes geſchehen, werden ſie 
herausgenommen, und in 
große Kugeln zuſammen⸗ 
gepappt, wovon ſie lange 
Zeit ihre Leckerbiſſen haben. 


Es wird auch ein guter",302,12,572,597,",",15,medium_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00078,STEFFEL-1809,DE-RAR,Roſoglio daraus gezogen,Roſoglio daraus gezogen,rosoglio daraus gezogen,welcher Mescali genannt wird. e /,,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"Roſoglio daraus gezogen, 
welcher Mescali genannt 
wird. e /",302,12,598,600,",",13,low_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00079,STEFFEL-1809,DE-RAR,Als,Als,als,"das Bindewort, f. Ja. Das Vergleichungswort.",,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"Als, das Bindewort, f. Ja. 
Das Vergleichungswort.",302,12,601,602,",",13,low_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00080,STEFFEL-1809,DE-RAR,Mapuieri,Mapuieri,mapuieri,b,,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,Mapuieri. b,302,12,603,603,.,15,medium_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00024,STEFFEL-1809,DE-RAR,Alsdann,Alsdann,alsdann,Guitsoco,entonces,source form preserved,Alsdann. Guitsoco,302,12,604,606,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00081,STEFFEL-1809,DE-RAR,Alſo,Alſo,also,Co oder 26 iſt bey den Tarahumaren eine ange haͤngte Sylbe am Ende des,,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar. RHD-FR-001: visual_facsimile_collation_ai_assisted; scope=headword_and_entry_start_boundary; exact_page=302.,"Alſo. Co oder 26 iſt bey den 


Tarahumaren eine ange 
haͤngte Sylbe am Ende des",302,12,607,611,.,17,high_machine,no,coverage-first OCR line segmentation v1,diplomatic_transcription_ai_assisted,transcripción_diplomática_visual_ai_asistida;pendiente_de_validación_humana_y_lingüística,left,Alſo,"Alſo. Có oder gó iſt bey den Tarahumaren eine angehängte Sylbe am Ende des Worts. z. B. geh alſo, simi-gó. Warte alſo ein wenig, pugué rachpéco, item coſſi.",complete_ai_assisted,RHD-DIP-001D,The final Rarámuri example coſſi and accentuation remain pending human verification.,false,visual_facsimile_transcription_ai_assisted
RHD-S1809-00082,STEFFEL-1809,DE-RAR,Worts,Worts,worts,"z. B. geh alſo, simi-",,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"Worts, z. B. geh alſo, simi-",302,12,612,612,",",13,low_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00083,STEFFEL-1809,DE-RAR,Warte alſo ein wenig,Warte alſo ein wenig,warte also ein wenig,"pugue rachpeco, item cofli.",,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"936. Warte alſo ein wenig, 
pugue rachpeco, item cofli.",302,12,613,614,",",10,low_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00025,STEFFEL-1809,DE-RAR,Alsobald / alsogleich,Alſohald,alsobald alsogleich,alſogleich. Hipeco,enseguida / inmediatamente,"OCR reads “Alſohald, alſogleich”","Alſohald, alſogleich. Hipeco",302,12,615,615,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00084,STEFFEL-1809,DE-RAR,Hipela,Hipela,hipela,1,,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,Hipela. 1,302,12,616,616,.,15,medium_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00085,STEFFEL-1809,DE-RAR,Alt,Alt,alt,"Ein alter Mann, Asche. rameke. Ein altes. Weib,",,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"Alt. Ein alter Mann, Asche. 


rameke. Ein altes. Weib,",302,12,617,622,.,15,medium_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00086,STEFFEL-1809,DE-RAR,Guelameke,Guelameke,guelameke,"Vor Alters. Cosée Kiaca,",,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"Guelameke: 


Vor Alters. Cosée Kiaca,",302,12,623,626,:,15,medium_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00087,STEFFEL-1809,DE-RAR,Ameiſe,Ameiſe,ameise,Motfäca.. -,,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,Ameiſe. Motfäca.. -,302,12,627,627,.,15,medium_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00088,STEFFEL-1809,DE-RAR,Anbinden,Anbinden,anbinden,f. binden. 4,,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"Anbinden, f. binden. 


4",302,12,628,633,",",13,low_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00089,STEFFEL-1809,DE-RAR,Anderer,Anderer,anderer,"Huli. Senü, senüla.",,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar. RHD-FR-001: visual_facsimile_collation_ai_assisted; scope=headword_and_entry_start_boundary; exact_page=302.,"Anderer. Huli. Senü, senüla.",302,12,634,636,.,17,high_machine,no,coverage-first OCR line segmentation v1,diplomatic_transcription_ai_assisted,transcripción_diplomática_visual_ai_asistida;pendiente_de_validación_humana_y_lingüística,right,Anderer,"Anderer. Huli. Senú, senúla.",complete_ai_assisted,RHD-DIP-001A,,false,visual_facsimile_transcription_ai_assisted
RHD-S1809-00090,STEFFEL-1809,DE-RAR,Anderſt,Anderſt,anderst,Segul.,,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar. RHD-FR-001: visual_facsimile_collation_ai_assisted; scope=headword_and_entry_start_boundary; exact_page=302.,Anderſt. Segul.,302,12,637,637,.,17,high_machine,no,coverage-first OCR line segmentation v1,diplomatic_transcription_ai_assisted,transcripción_diplomática_visual_ai_asistida;pendiente_de_validación_humana_y_lingüística,right,Anderſt,Anderſt. Segui.,complete_ai_assisted,RHD-DIP-001A,,false,visual_facsimile_transcription_ai_assisted
